Date,Quarter,Sweden,Spain,Portugal,Norway,Italy,Ireland,Iceland,Greece,Germany,United Kingdom,France,Netherlands,Australia,United States of America,Finland
2016,Q1,139.18,72.9,96.57,121.33,78.94,94.07,123.41,65.05,113.37,108.38,97.9,92.29,112.12,177.901,106.28
2016,Q2,138.56,73.07,99.58,124.85,79.35,94,124.53,63.6,115.36,110.16,98.5,92.98,113.93,179.499,107.56
2016,Q3,141.63,73.78,100.89,126.08,79.16,97.95,131.52,63.76,116.59,111.94,98.07,95.3,114.8,181.796667,107.14
2016,Q4,142.85,72.85,102.06,125.52,78.66,101.26,136.33,63.18,116.96,111.14,97.45,96.52,118.91,184.854,106.92
2017,Q1,146.28,74.73,104.22,130.24,77.36,102.36,142.81,62.94,117.45,110.79,98.91,98.45,120.98,187.736,108.41
2017,Q2,147.81,75.64,107.59,130.73,77.47,103.7,150.75,62.13,119.24,111.96,99.4,99.99,123.12,189.811,109.37
2017,Q3,149.06,77.41,111.4,127.29,77.11,109.27,155.77,62.67,121.45,113.9,98.86,102.35,122.09,192.580667,108.73
2017,Q4,144.52,76.97,112.76,124.77,77.03,112.54,153.97,62.37,122.59,112.86,98.03,104.71,122.49,196.140333,108.20
2018,Q1,143.25,78.65,116.97,126.32,76.42,114.63,157.75,63.06,124.32,112.45,98.09,107.59,121.12,199.728,108.31
2018,Q2,142.54,79.35,119.68,129.79,76.61,116.56,157.55,62.27,125.77,112.91,99.1,109.58,119.87,201.869,110.12
